time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,79,79,99,0,13
1,71,71,92,13,13
2,73,73,91,11,13
3,73,73,90,10,13
4,77,77,91,9,13
5,73,73,91,9,13
6,64,64,88,15,13
7,61,61,86,19,13
8,55,55,83,25,13
9,75,75,84,24,13
10,68,68,83,23,13
11,49,49,81,30,13
12,35,35,76,41,13
13,22,22,71,55,13
14,16,16,66,66,13
15,13,13,61,74,13
16,13,13,57,80,13
17,16,16,54,83,13
18,27,27,52,83,13
19,36,36,50,82,13
20,67,67,52,80,13
21,88,88,55,83,13
22,87,87,57,84,13
23,88,88,59,86,13
24,89,89,62,87,13
25,77,77,63,86,13
26,76,76,64,85,13
27,79,79,65,85,13
28,75,75,66,84,13
29,72,72,67,83,13
30,70,70,66,82,13
31,65,65,66,82,13
32,57,57,65,82,13
33,75,75,65,82,13
34,72,72,65,81,13
35,54,54,64,81,13
36,35,35,62,82,13
37,25,25,60,84,13
38,18,18,58,87,13
39,15,15,55,90,13
40,16,16,52,92,13
41,17,17,50,94,13
42,20,20,49,95,13
43,26,26,50,95,13
44,39,39,51,93,13
45,53,53,53,90,13
46,59,59,56,87,13
47,65,65,58,84,13
48,56,56,60,82,13
49,61,61,61,81,13
50,66,66,61,81,13
51,73,73,60,79,13
52,79,79,60,78,13
53,82,82,60,77,13
54,80,80,59,76,13
55,78,78,59,76,13
56,83,83,59,77,13
57,89,89,60,78,13
58,89,89,61,80,13
59,89,89,62,82,13
60,68,68,62,82,16
61,37,37,60,82,18
62,22,22,58,85,20
63,16,16,55,87,22
64,15,15,52,89,23
65,19,19,50,91,24
66,15,15,49,93,27
67,42,42,50,92,29
68,70,70,53,90,30
69,88,88,57,90,32
70,92,92,61,90,34
71,92,92,65,89,36
72,93,93,69,88,38
73,77,77,72,85,40
74,81,81,74,85,42
75,84,84,75,85,43
76,89,89,77,86,45
77,80,80,78,87,47
78,73,73,79,87,49
79,71,71,79,86,51
80,69,69,80,86,53
81,79,79,80,87,54
82,68,68,79,86,55
83,54,54,78,86,58
84,37,37,75,88,60
85,26,26,73,91,61
86,20,20,69,93,64
87,16,16,65,96,65
88,17,17,61,97,67
89,19,19,57,98,69
90,26,26,55,99,68
91,39,39,55,98,67
92,74,74,58,97,65
93,89,89,62,96,64
94,97,97,67,95,63
95,99,99,71,95,61
96,89,89,75,91,60
97,83,83,77,91,59
98,80,80,78,91,57
99,80,80,77,90,55
100,78,78,77,89,55
101,72,72,76,88,54
102,68,68,74,86,52
103,64,64,73,86,51
104,57,57,72,85,49
105,69,69,71,85,48
106,62,62,70,83,47
107,55,55,69,82,46
108,38,38,67,83,45
109,25,25,64,85,43
110,19,19,61,88,42
111,15,15,58,91,41
112,13,13,55,94,39
113,16,16,53,96,38
114,19,19,52,98,37
115,27,27,52,98,35
116,46,46,53,96,34
117,66,66,56,93,33
118,70,70,59,91,32
119,67,67,62,88,30
120,58,58,63,86,33
121,50,50,64,86,35
122,38,38,62,86,37
123,38,38,59,84,39
124,39,39,56,81,42
125,37,37,53,76,44
126,37,37,50,73,46
127,39,39,47,70,49
128,38,38,45,67,51
129,54,54,44,64,53
130,49,49,42,61,55
131,41,41,40,58,58
132,26,26,38,57,60
133,16,16,36,58,61
134,11,11,33,60,65
135,8,8,30,60,67
136,6,6,27,60,69
137,13,13,24,60,72
138,5,5,23,63,74
139,0,0,21,66,76
140,12,12,21,67,78
141,25,25,21,66,81
142,30,30,22,65,83
143,33,33,23,64,85
144,31,31,24,63,88
145,22,22,24,64,90
146,19,19,22,64,92
147,17,17,20,61,94
148,19,19,17,56,97
149,16,16,14,51,99
150,18,18,12,48,96
151,21,21,10,46,92
152,34,34,10,45,89
153,50,50,11,47,86
154,45,45,11,48,83
155,33,33,11,48,79
156,23,23,10,47,76
157,14,14,9,47,73
158,8,8,7,47,69
159,6,6,4,44,66
160,6,6,2,42,63
161,10,10,0,40,59
162,9,9,0,40,55
163,33,33,0,41,53
164,64,64,3,49,49
165,81,81,7,60,46
166,81,81,11,68,43
167,83,83,15,76,40
168,80,80,19,81,36
169,70,70,23,82,33
170,71,71,26,84,30
171,75,75,29,87,26
172,75,75,32,90,23
173,67,67,33,91,20
174,62,62,35,92,17
175,59,59,37,92,13
176,51,51,39,91,10
177,61,61,41,90,6
178,64,64,44,90,3
179,47,47,45,88,0
180,28,28,46,87,1
181,20,20,46,87,2
182,15,15,45,88,4
183,12,12,43,91,5
184,12,12,41,93,6
185,16,16,40,94,6
186,14,14,40,95,8
187,36,36,41,93,10
188,66,66,44,92,11
189,87,87,48,91,12
190,87,87,53,90,13
191,87,87,57,89,13
192,85,85,61,86,15
193,73,73,63,86,17
194,71,71,64,86,18
195,78,78,63,86,19
196,77,77,63,85,20
197,70,70,62,84,21
198,66,66,62,83,23
199,61,61,61,83,24
200,54,54,60,82,24
201,60,60,59,81,26
202,60,60,59,80,27
203,51,51,58,80,29
204,35,35,56,81,30
205,24,24,54,83,30
206,17,17,52,85,32
207,14,14,50,88,33
208,12,12,47,90,34
209,15,15,45,93,36
210,14,14,45,94,36
211,34,34,45,93,36
212,67,67,48,92,36
213,87,87,52,91,35
214,89,89,57,91,35
215,90,90,61,90,35
216,86,86,64,88,35
217,75,75,67,88,35
218,76,76,67,88,35
219,80,80,67,88,35
220,79,79,66,87,35
221,65,65,65,85,35
222,67,67,64,84,35
223,65,65,64,83,35
224,63,63,63,83,35
225,67,67,63,82,35
