time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,74,74,79,0,16
1,74,74,79,0,16
2,74,74,79,0,16
3,75,75,80,1,16
4,75,75,80,1,16
5,75,75,80,1,16
6,75,75,80,1,16
7,76,76,81,1,16
8,76,76,81,2,16
9,76,76,81,2,16
10,77,77,81,3,16
11,78,78,82,3,16
12,78,78,82,4,16
13,78,78,82,4,16
14,78,78,82,4,16
15,78,78,83,4,16
16,78,78,83,4,16
17,79,79,83,5,16
18,79,79,83,5,16
19,79,79,83,5,16
20,79,79,84,5,16
21,79,79,84,5,16
22,79,79,84,6,16
23,80,80,84,6,16
24,80,80,84,6,16
25,80,80,84,6,16
26,80,80,85,6,16
27,80,80,85,6,16
28,81,81,85,6,16
29,81,81,85,7,16
30,81,81,85,6,16
31,82,82,86,6,16
32,82,82,86,6,16
33,83,83,87,6,16
34,82,82,87,6,16
35,81,81,87,6,16
36,81,81,88,5,16
37,81,81,88,5,16
38,81,81,88,5,16
39,80,80,88,4,16
40,80,80,89,4,16
41,80,80,89,4,16
42,80,80,89,4,16
43,80,80,89,3,16
44,80,80,89,3,16
45,80,80,89,3,16
46,80,80,89,3,16
47,79,79,89,3,16
48,80,80,89,2,16
49,80,80,89,2,16
50,80,80,89,2,16
51,81,81,89,2,16
52,81,81,90,2,16
53,80,80,90,2,16
54,80,80,90,2,16
55,80,80,90,2,16
56,80,80,90,2,16
57,81,81,90,2,16
58,81,81,90,2,16
59,80,80,90,2,16
60,80,80,90,2,16
61,80,80,89,2,17
62,81,81,89,2,17
63,80,80,89,1,17
64,80,80,89,1,18
65,80,80,89,1,18
66,80,80,89,1,19
67,80,80,89,1,19
68,80,80,89,0,20
69,80,80,89,0,20
70,80,80,89,0,21
71,80,80,89,0,21
72,81,81,89,0,22
73,80,80,89,0,22
74,80,80,89,0,23
75,80,80,89,1,23
76,80,80,89,0,24
77,80,80,89,0,24
78,80,80,89,0,24
79,81,81,89,0,24
80,80,80,89,0,26
81,80,80,89,0,26
82,80,80,89,0,27
83,81,81,89,0,27
84,81,81,89,0,27
85,82,82,89,1,27
86,83,83,89,2,27
87,84,84,89,2,29
88,85,85,90,3,29
89,86,86,90,4,30
90,87,87,90,6,29
91,89,89,91,7,27
92,90,90,91,9,27
93,92,92,92,10,27
94,94,94,92,12,26
95,97,97,93,15,24
96,99,99,94,17,24
97,98,98,95,19,24
98,97,97,96,20,23
99,95,95,97,20,23
100,92,92,97,21,22
101,89,89,98,20,21
102,86,86,98,20,20
103,83,83,98,20,20
104,81,81,98,20,19
105,79,79,98,20,18
106,76,76,98,21,17
107,72,72,98,22,17
108,69,69,97,24,16
109,67,67,96,26,15
110,66,66,96,28,15
111,64,64,95,30,13
112,62,62,94,33,13
