time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,47,47,24,0,82
1,46,46,24,0,82
2,46,46,24,0,82
3,47,47,24,0,82
4,47,47,24,0,82
5,47,47,24,0,82
6,46,46,24,0,82
7,46,46,24,0,82
8,46,46,24,0,82
9,47,47,24,0,82
10,47,47,25,0,82
11,48,48,25,1,82
12,47,47,25,1,82
13,47,47,25,1,82
14,47,47,25,1,82
15,48,48,25,1,82
16,48,48,25,1,82
17,48,48,25,2,82
18,48,48,26,2,82
19,48,48,26,2,82
20,47,47,26,2,82
21,47,47,26,2,82
22,47,47,26,2,82
23,47,47,26,2,82
24,48,48,26,2,82
25,48,48,26,2,82
26,47,47,26,2,82
27,47,47,26,2,82
28,47,47,26,2,82
29,47,47,26,2,82
30,48,48,26,2,82
31,48,48,26,2,82
32,51,51,26,3,82
33,51,51,27,4,82
34,52,52,27,5,82
35,52,52,28,6,82
36,52,52,28,7,82
37,51,51,29,7,82
38,50,50,29,7,82
39,50,50,29,7,82
40,50,50,30,7,82
41,50,50,30,7,82
42,50,50,30,7,82
43,50,50,30,7,82
44,50,50,30,7,82
45,50,50,31,7,82
46,50,50,31,7,82
47,50,50,31,7,82
48,51,51,31,7,82
49,51,51,32,7,82
50,51,51,32,7,82
51,51,51,32,6,82
52,50,50,32,6,82
53,50,50,33,6,82
54,50,50,33,6,82
55,51,51,33,5,82
56,50,50,33,5,82
57,50,50,34,5,82
58,50,50,34,4,82
59,49,49,34,4,82
60,49,49,34,3,82
61,49,49,34,3,83
62,50,50,34,3,83
63,50,50,34,3,84
64,49,49,34,3,84
65,47,47,33,3,85
66,43,43,33,6,86
67,35,35,31,12,86
68,20,20,29,25,87
69,6,6,25,41,87
70,0,0,20,55,88
71,7,7,17,62,89
72,20,20,14,64,89
73,33,33,13,64,90
74,44,44,12,64,90
75,54,54,13,64,91
76,60,60,13,66,91
77,60,60,14,67,92
78,58,58,15,67,93
79,55,55,15,68,93
80,54,54,16,68,94
81,53,53,16,68,94
