time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,99,99,99,0,0
1,99,99,99,0,0
2,99,99,99,0,0
3,99,99,99,0,0
4,99,99,99,0,0
5,99,99,99,0,0
6,99,99,99,0,0
7,99,99,99,0,0
8,99,99,99,0,0
9,99,99,99,0,0
10,99,99,99,0,0
11,99,99,99,0,0
12,99,99,99,0,0
13,99,99,99,0,0
14,99,99,99,0,0
15,99,99,99,0,0
16,99,99,99,0,0
17,99,99,99,0,0
18,99,99,99,0,0
19,99,99,99,0,0
20,99,99,99,0,0
21,99,99,99,0,0
22,99,99,99,0,0
23,99,99,99,0,0
24,99,99,99,0,0
25,99,99,99,0,0
26,99,99,99,0,0
27,99,99,99,0,0
28,99,99,99,0,0
29,99,99,99,0,0
30,99,99,99,0,0
31,99,99,99,0,0
32,99,99,99,0,0
33,99,99,99,0,0
34,99,99,99,0,0
35,99,99,99,0,0
36,99,99,99,0,0
37,99,99,99,0,0
38,99,99,99,0,0
39,99,99,99,0,0
40,99,99,99,0,0
41,99,99,99,0,0
42,99,99,99,0,0
43,99,99,99,0,0
44,99,99,99,0,0
45,99,99,99,0,0
46,99,99,99,0,0
47,99,99,99,0,0
48,99,99,99,0,0
49,99,99,99,0,0
50,99,99,99,0,0
51,99,99,99,0,0
52,99,99,99,0,0
53,99,99,99,0,0
54,99,99,99,0,0
55,99,99,99,0,0
56,99,99,99,0,0
57,99,99,99,0,0
58,99,99,99,0,0
59,99,99,99,0,0
60,99,99,99,0,0
61,99,99,99,0,0
62,99,99,99,0,0
63,99,99,99,0,0
64,99,99,99,0,0
65,99,99,99,0,0
66,99,99,99,0,0
67,99,99,99,0,0
68,99,99,99,0,0
69,99,99,99,0,0
70,99,99,99,0,0
71,99,99,99,0,0
72,99,99,99,0,0
73,99,99,99,0,0
74,99,99,99,0,0
75,99,99,99,0,0
76,99,99,99,0,0
77,99,99,99,0,0
78,99,99,99,0,0
79,99,99,99,0,0
80,99,99,99,0,0
81,99,99,99,0,0
82,99,99,99,0,0
83,99,99,99,0,0
84,99,99,99,0,0
85,99,99,99,0,0
86,99,99,99,0,0
87,99,99,99,0,0
88,99,99,99,0,0
89,99,99,99,0,0
90,99,99,99,0,3
91,99,99,99,0,6
92,99,99,99,0,10
93,99,99,99,0,13
94,99,99,99,0,16
95,99,99,99,0,20
96,99,99,99,0,23
97,12,12,96,35,26
98,12,12,93,49,30
99,12,12,90,59,33
100,12,12,87,67,36
101,12,12,84,73,40
102,12,12,81,79,43
103,12,12,78,83,46
104,12,12,75,87,49
105,12,12,73,90,53
106,12,12,70,93,55
107,12,12,67,95,59
108,12,12,64,96,63
109,12,12,61,98,66
110,12,12,58,98,69
111,12,12,55,99,73
112,12,12,52,98,76
113,12,12,49,98,79
114,12,12,47,96,82
115,12,12,44,95,86
116,12,12,41,93,89
117,12,12,38,90,92
118,12,12,35,87,96
119,12,12,32,83,99
120,12,12,29,79,97
121,12,12,26,73,94
122,12,12,23,67,92
123,12,12,21,59,90
124,12,12,18,49,87
125,12,12,15,35,85
126,12,12,12,0,82
127,12,12,12,0,80
128,12,12,12,0,78
129,12,12,12,0,75
130,12,12,12,0,73
131,12,12,12,0,71
132,12,12,12,0,68
133,12,12,12,0,66
134,12,12,12,0,64
135,12,12,12,0,61
136,12,12,12,0,59
137,12,12,12,0,55
138,12,12,12,0,54
139,12,12,12,0,52
140,12,12,12,0,49
141,12,12,12,0,47
142,12,12,12,0,45
143,12,12,12,0,42
144,12,12,12,0,40
145,12,12,12,0,37
146,12,12,12,0,35
147,12,12,12,0,33
148,12,12,12,0,30
149,12,12,12,0,27
150,12,12,12,0,27
151,12,12,12,0,26
152,12,12,12,0,24
153,12,12,12,0,24
154,12,12,12,0,23
155,12,12,12,0,22
156,12,12,12,0,21
157,12,12,12,0,21
158,12,12,12,0,20
159,12,12,12,0,19
160,12,12,12,0,18
161,12,12,12,0,17
162,12,12,12,0,16
163,12,12,12,0,15
164,12,12,12,0,13
165,12,12,12,0,13
166,12,12,12,0,12
167,12,12,12,0,11
168,12,12,12,0,10
169,12,12,12,0,9
170,12,12,12,0,8
171,12,12,12,0,6
172,12,12,12,0,6
173,12,12,12,0,6
174,12,12,12,0,5
175,12,12,12,0,4
176,12,12,12,0,3
177,12,12,12,0,2
178,12,12,12,0,1
179,12,12,12,0,0
180,12,12,12,0,2
181,12,12,12,0,5
182,12,12,12,0,6
183,12,12,12,0,9
184,12,12,12,0,11
185,12,12,12,0,13
186,12,12,12,0,16
187,12,12,12,0,18
188,12,12,12,0,20
189,12,12,12,0,23
190,12,12,12,0,24
191,12,12,12,0,27
192,12,12,12,0,29
193,12,12,12,0,32
194,12,12,12,0,34
195,12,12,12,0,36
196,12,12,12,0,38
197,12,12,12,0,41
198,0,0,11,5,43
199,0,0,11,7,45
200,0,0,11,8,47
201,0,0,10,9,49
202,0,0,10,10,52
203,0,0,9,11,54
204,0,0,9,11,55
205,0,0,9,12,59
206,0,0,8,12,61
207,0,0,8,13,63
208,0,0,7,13,65
209,0,0,7,13,68
210,0,0,7,14,68
211,0,0,6,14,69
212,0,0,6,14,69
213,0,0,5,14,70
214,0,0,5,14,70
215,0,0,4,13,71
216,0,0,4,13,71
217,0,0,4,13,72
218,0,0,3,12,72
219,0,0,3,12,73
220,0,0,2,11,74
221,0,0,2,11,74
222,0,0,2,10,75
223,0,0,1,9,75
224,0,0,1,8,76
225,0,0,0,7,76
226,0,0,0,5,77
227,0,0,0,0,77
228,0,0,0,0,78
229,0,0,0,0,78
230,0,0,0,0,79
231,0,0,0,0,79
232,0,0,0,0,80
233,0,0,0,0,80
234,0,0,0,0,81
235,0,0,0,0,81
236,0,0,0,0,82
237,0,0,0,0,83
238,0,0,0,0,83
239,0,0,0,0,84
240,0,0,0,0,81
241,0,0,0,0,78
242,0,0,0,0,75
243,0,0,0,0,72
244,0,0,0,0,70
245,0,0,0,0,67
246,0,0,0,0,64
247,0,0,0,0,61
248,0,0,0,0,58
249,0,0,0,0,55
250,0,0,0,0,53
251,0,0,0,0,49
252,0,0,0,0,47
253,0,0,0,0,45
254,0,0,0,0,42
255,0,0,0,0,39
256,0,0,0,0,36
