time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,3,3,2,0,94
1,3,3,2,0,94
2,2,2,2,0,94
3,2,2,1,0,94
4,2,2,1,0,94
5,2,2,1,0,94
6,2,2,1,1,94
7,2,2,1,1,94
8,1,1,1,1,94
9,1,1,1,1,94
10,1,1,1,1,94
11,0,0,0,2,94
12,0,0,0,2,94
13,0,0,0,2,94
14,0,0,0,2,94
15,0,0,0,2,94
16,0,0,0,2,94
17,0,0,0,3,94
18,0,0,0,3,94
19,0,0,0,2,94
20,1,1,0,2,94
21,2,2,0,2,94
22,3,3,0,3,94
23,5,5,0,3,94
24,7,7,0,4,94
25,10,10,1,6,94
26,13,13,1,8,94
27,16,16,2,11,94
28,20,20,2,14,94
29,24,24,3,17,94
30,28,28,4,21,94
31,33,33,6,25,94
32,38,38,7,30,94
33,43,43,9,35,94
34,48,48,11,40,94
35,53,53,13,46,94
36,58,58,15,51,94
37,64,64,18,57,94
38,68,68,21,62,94
39,73,73,24,68,94
40,78,78,27,73,94
41,82,82,30,78,94
42,86,86,34,82,94
43,89,89,38,87,94
44,92,92,42,90,94
45,95,95,46,93,94
46,97,97,50,96,94
47,98,98,54,97,94
48,98,98,58,98,94
49,99,99,62,99,94
50,98,98,66,98,94
51,97,97,70,96,94
52,95,95,74,94,94
53,92,92,78,90,94
54,90,90,81,86,94
55,86,86,84,82,94
56,83,83,87,76,94
57,79,79,90,71,94
58,75,75,92,65,94
59,70,70,94,59,94
60,66,66,96,54,94
61,62,62,97,49,94
62,59,59,98,46,94
63,55,55,98,44,95
64,52,52,99,43,95
65,49,49,98,44,95
66,47,47,98,46,95
67,44,44,97,48,95
68,43,43,96,51,95
69,41,41,95,55,96
70,40,40,93,58,96
71,39,39,91,61,96
72,38,38,89,63,96
73,37,37,87,65,96
74,37,37,85,66,96
75,37,37,82,66,97
76,37,37,80,66,97
77,37,37,77,65,97
78,37,37,75,64,97
79,37,37,72,61,97
80,37,37,69,59,97
81,38,38,67,55,98
82,38,38,65,52,98
83,38,38,62,48,98
84,38,38,60,44,98
85,38,38,58,39,98
86,39,39,56,35,98
87,38,38,55,31,99
88,38,38,53,27,99
89,38,38,52,23,99
90,38,38,51,19,96
91,37,37,50,16,92
92,37,37,49,13,89
93,37,37,48,10,86
94,36,36,47,8,82
95,35,35,47,6,79
96,35,35,46,5,76
97,35,35,46,4,73
98,34,34,45,4,69
99,34,34,45,4,66
100,33,33,45,4,63
101,33,33,45,4,59
102,33,33,44,4,55
103,33,33,44,5,53
104,33,33,44,5,49
105,33,33,44,5,46
106,33,33,44,5,43
107,33,33,43,6,40
108,33,33,43,6,36
109,35,35,43,6,33
110,37,37,43,6,30
111,40,40,43,6,26
112,43,43,43,7,23
113,48,48,44,9,20
114,53,53,44,13,16
115,58,58,45,17,13
116,64,64,46,21,10
117,68,68,48,26,6
118,73,73,49,31,3
119,78,78,51,37,0
120,82,82,53,42,3
121,86,86,55,47,6
122,89,89,57,52,10
123,92,92,59,57,13
124,95,95,62,61,16
125,97,97,64,65,20
126,98,98,67,68,23
127,98,98,70,71,26
128,99,99,72,73,29
129,98,98,75,74,33
130,97,97,78,75,36
131,95,95,80,75,39
132,92,92,83,74,43
133,90,90,85,73,46
134,86,86,87,71,49
135,83,83,89,68,52
136,79,79,91,65,55
137,75,75,93,61,59
138,70,70,95,57,61
139,66,66,96,53,65
140,62,62,97,49,69
141,59,59,98,46,72
142,55,55,98,44,75
143,52,52,99,43,79
144,49,49,98,44,82
145,47,47,98,46,85
146,44,44,97,48,88
147,43,43,96,51,92
148,41,41,95,55,95
149,40,40,93,58,98
150,39,39,91,61,97
151,38,38,89,63,97
152,36,36,87,65,96
153,34,34,84,67,95
154,32,32,82,68,94
155,30,30,79,68,94
156,28,28,76,68,93
157,26,26,73,68,92
158,24,24,70,67,91
159,24,24,67,65,90
160,23,23,64,63,90
161,23,23,61,61,89
162,23,23,58,58,88
163,23,23,55,54,87
164,23,23,52,51,87
165,23,23,50,48,86
166,22,22,47,44,85
167,22,22,45,41,84
168,22,22,43,38,83
169,22,22,41,35,83
170,22,22,40,32,82
171,22,22,38,29,81
172,22,22,37,27,80
173,22,22,35,25,79
174,21,21,34,23,79
175,21,21,33,21,78
176,21,21,32,19,77
177,21,21,31,18,76
178,21,21,31,16,76
179,21,21,30,14,75
180,21,21,29,13,74
181,21,21,28,11,73
182,21,21,28,9,72
183,20,20,27,7,71
184,20,20,27,5,70
185,20,20,26,4,69
186,20,20,26,3,68
187,20,20,26,3,67
188,19,19,25,3,66
189,19,19,25,3,65
190,19,19,25,3,64
191,19,19,25,3,63
192,19,19,25,3,61
193,18,18,24,3,61
194,18,18,24,3,60
195,18,18,24,3,59
196,18,18,24,3,58
197,17,17,24,4,57
198,17,17,23,4,55
199,17,17,23,4,55
200,16,16,23,4,54
201,16,16,23,4,53
202,16,16,22,4,52
203,16,16,22,5,51
204,15,15,22,5,49
205,15,15,22,5,49
206,15,15,21,5,48
207,15,15,21,5,47
208,15,15,21,5,46
209,14,14,21,5,45
210,14,14,20,5,46
211,14,14,20,5,47
212,14,14,20,6,48
213,13,13,19,6,49
214,13,13,19,6,49
215,13,13,19,6,51
216,13,13,19,6,52
217,13,13,18,6,53
218,12,12,18,6,54
219,12,12,18,5,55
220,12,12,17,5,55
221,12,12,17,5,57
222,12,12,17,5,58
223,12,12,16,5,59
224,11,11,16,5,60
225,11,11,16,5,61
226,11,11,16,5,61
227,11,11,15,5,63
228,11,11,15,4,64
229,11,11,15,4,65
230,11,11,15,4,66
231,11,11,14,4,67
232,10,10,14,4,68
233,10,10,14,4,69
234,10,10,14,4,70
235,10,10,14,4,71
236,10,10,13,4,72
237,10,10,13,3,73
238,10,10,13,3,74
239,9,9,13,3,75
240,9,9,13,3,75
241,9,9,12,3,75
242,9,9,12,3,75
243,9,9,12,3,76
244,8,8,12,3,76
245,8,8,12,3,76
246,8,8,11,3,76
247,8,8,11,3,76
248,8,8,11,3,77
249,8,8,11,3,77
250,7,7,11,3,77
251,7,7,10,3,77
252,7,7,10,4,77
253,7,7,10,4,77
254,7,7,10,4,78
255,7,7,10,4,78
256,7,7,9,4,78
257,6,6,9,4,78
258,6,6,9,4,78
259,6,6,9,4,79
260,6,6,9,4,79
261,6,6,8,3,79
262,6,6,8,3,79
263,6,6,8,3,79
264,6,6,8,3,79
265,6,6,8,3,80
266,5,5,7,3,80
267,5,5,7,3,80
268,5,5,7,3,80
269,5,5,7,3,80
270,5,5,7,3,80
271,5,5,6,3,80
272,4,4,6,3,80
273,4,4,6,3,80
274,4,4,6,3,80
275,4,4,6,3,79
276,4,4,6,3,79
277,4,4,5,3,79
278,3,3,5,3,79
279,3,3,5,3,79
280,3,3,5,3,79
281,3,3,5,3,78
282,3,3,4,3,78
283,2,2,4,3,78
284,2,2,4,3,78
285,2,2,4,3,78
286,2,2,4,4,78
287,1,1,3,4,78
288,1,1,3,4,77
289,1,1,3,4,77
290,0,0,3,4,77
291,0,0,3,4,77
292,0,0,2,4,77
293,0,0,2,5,77
294,0,0,2,5,76
295,0,0,2,5,76
296,0,0,1,5,76
297,0,0,1,5,76
298,0,0,1,5,76
299,0,0,1,5,76
