time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,21,21,16,0,42
1,10,10,0,17,42
2,19,19,3,15,42
3,59,59,33,56,42
4,87,87,67,88,42
5,89,89,91,99,42
6,51,51,92,91,42
7,23,23,83,89,42
8,6,6,71,92,42
9,13,13,63,90,42
10,43,43,64,86,42
11,65,65,71,86,42
12,70,70,77,86,42
13,56,56,80,83,42
14,50,50,81,80,42
15,51,51,82,78,42
16,51,51,83,76,42
17,51,51,84,74,42
18,51,51,85,72,42
19,49,49,86,70,42
20,45,45,86,68,42
21,33,33,84,67,42
22,22,22,81,67,42
23,5,5,77,70,42
24,17,17,74,70,42
25,51,51,75,69,42
26,82,82,79,72,42
27,88,88,84,75,42
28,55,55,85,74,42
29,29,29,83,73,42
30,7,7,82,75,42
31,7,7,81,75,42
32,21,21,82,75,42
33,42,42,80,75,42
34,69,69,78,72,42
35,77,77,77,70,42
36,69,69,79,71,42
37,53,53,82,70,42
38,49,49,86,67,42
39,51,51,89,64,42
40,51,51,90,64,42
41,51,51,89,64,42
42,51,51,87,62,42
43,50,50,87,62,42
44,46,46,86,62,42
45,39,39,85,62,42
46,29,29,83,63,42
47,16,16,80,64,42
48,9,9,76,67,42
49,9,9,72,69,42
50,36,36,71,69,42
51,78,78,75,72,42
52,98,98,82,77,42
53,66,66,88,75,42
54,29,29,89,74,42
55,0,0,84,78,42
56,9,9,78,77,42
57,36,36,73,73,42
58,78,78,75,76,42
59,98,98,81,81,42
60,66,66,87,79,44
61,29,29,89,77,46
62,0,0,87,80,48
63,0,0,83,84,49
64,13,13,78,84,52
65,34,34,74,82,54
66,58,58,72,81,55
67,75,75,75,83,57
68,70,70,77,84,59
69,61,61,78,85,61
70,49,49,77,85,63
71,51,51,77,85,65
72,51,51,77,85,67
73,52,52,78,85,69
74,51,51,78,85,71
75,51,51,79,85,73
76,50,50,81,85,74
77,48,48,84,83,76
78,38,38,87,81,78
79,23,23,88,79,80
80,9,9,86,82,82
81,4,4,79,83,84
82,21,21,71,78,86
83,57,57,70,77,88
84,84,84,76,80,90
85,83,83,84,79,91
86,52,52,88,77,93
87,24,24,86,78,95
88,19,19,81,77,97
89,31,31,74,71,99
90,57,57,74,70,98
91,73,73,78,72,97
92,72,72,85,69,95
93,62,62,91,65,94
94,50,50,94,62,93
95,50,50,96,61,92
96,52,52,95,61,91
97,51,51,93,59,89
98,51,51,91,58,88
99,47,47,90,57,87
100,33,33,88,58,86
101,21,21,85,60,84
102,3,3,81,64,83
103,14,14,77,66,82
104,48,48,77,66,81
105,78,78,80,68,80
106,82,82,83,71,78
107,40,40,82,71,77
108,19,19,80,73,76
109,15,15,79,73,75
110,39,39,82,71,74
111,61,61,88,68,72
112,60,60,91,67,71
113,57,57,91,66,70
114,47,47,88,63,69
115,51,51,85,60,68
116,52,52,85,60,66
117,52,52,87,59,65
118,51,51,91,57,64
119,50,50,92,56,63
120,46,46,91,56,61
121,38,38,88,54,61
122,25,25,83,53,61
123,13,13,79,55,61
124,4,4,74,59,60
125,11,11,71,61,60
126,45,45,70,60,59
127,82,82,73,64,59
128,98,98,77,71,58
129,74,74,80,73,58
130,37,37,80,73,57
131,12,12,80,74,57
132,3,3,80,74,55
133,17,17,80,74,55
134,34,34,78,74,55
135,60,60,77,72,55
136,74,74,76,71,55
137,69,69,79,72,54
138,60,60,83,71,54
139,49,49,86,70,53
140,53,53,87,70,53
141,50,50,86,69,52
142,50,50,85,69,52
143,46,46,84,68,51
144,39,39,84,69,51
145,26,26,81,69,49
146,13,13,77,71,49
147,5,5,73,74,49
148,11,11,69,75,49
149,48,48,69,75,48
150,70,70,71,77,48
