time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,02,28,92,81
1,06,26,94,80
2,11,25,96,80
3,18,23,98,79
4,26,21,99,79
5,34,19,99,78
6,43,17,98,78
7,53,15,96,77
8,62,14,94,77
9,71,12,92,76
10,79,11,89,76
11,86,11,87,75
12,91,10,86,75
13,96,10,86,74
14,98,10,86,72
15,99,11,88,70
16,98,12,90,68
17,96,13,93,66
18,91,14,95,64
19,86,16,97,62
20,79,18,98,60
21,71,20,99,58
22,62,22,99,55
23,53,23,98,53
24,43,25,96,51
25,34,27,93,49
26,26,28,91,47
27,18,29,89,45
28,11,30,87,43
29,06,30,86,41
30,02,30,86,39
31,00,30,87,37
32,00,29,89,35
33,02,28,91,32
34,05,27,93,30
35,09,25,96,28
36,16,23,98,26
37,23,22,99,24
38,31,20,99,22
39,40,18,98,20
40,50,16,97,18
41,53,14,95,16
42,56,12,92,14
43,59,10,88,12
44,62,07,84,09
45,65,05,79,07
46,68,03,74,05
47,71,02,70,03
48,73,01,67,01
49,76,00,66,00
50,79,00,66,01
51,81,01,67,03
52,83,02,70,04
53,86,04,74,05
54,88,07,77,06
55,90,10,81,08
56,91,14,84,09
57,93,19,86,10
58,94,24,87,12
59,96,30,86,13
60,97,35,84,14
61,97,41,80,16
62,98,48,76,17
63,99,54,70,18
64,99,59,63,19
65,99,65,56,21
66,99,70,49,22
67,99,75,42,23
68,98,79,36,25
69,97,82,31,26
70,97,85,28,27
71,96,88,24,28
72,94,90,20,30
73,93,93,17,31
74,91,94,13,32
75,90,96,09,34
76,88,97,06,35
77,86,98,03,36
78,83,99,01,37
79,81,99,00,39
80,79,99,00,40
81,76,99,01,41
82,73,98,03,43
83,71,97,06,44
84,68,96,09,45
85,65,94,13,47
86,62,93,17,48
87,59,90,20,49
88,56,88,24,51
89,53,85,28,52
90,49,82,31,54
91,40,79,36,55
92,31,75,42,56
93,23,70,49,58
94,16,65,56,59
95,09,59,63,61
96,05,54,70,62
97,02,48,76,64
98,00,41,80,65
99,00,35,84,66
100,02,30,86,68
101,06,24,87,69
102,11,19,86,71
103,18,14,84,72
104,26,10,81,73
105,34,07,77,75
106,43,04,74,76
107,53,02,70,78
108,62,01,67,79
109,71,00,66,80
110,79,00,66,82
111,86,01,67,83
112,91,02,70,85
113,96,03,74,86
114,98,05,79,88
115,99,07,84,89
116,98,10,88,90
117,96,12,92,92
118,91,14,95,93
119,86,16,97,95
120,79,18,98,96
121,71,20,99,97
122,62,22,99,97
123,53,23,98,96
124,43,25,96,96
125,34,27,93,96
126,26,28,91,96
127,18,29,89,96
128,11,30,87,96
129,06,30,86,95
130,02,30,86,95
131,00,30,87,95
132,00,29,89,95
133,02,28,91,95
134,05,27,93,95
135,09,25,96,94
136,16,23,98,94
137,23,22,99,94
138,31,20,99,94
139,40,18,98,94
140,50,16,97,94
141,59,14,95,94
142,68,13,93,93
143,76,12,90,93
144,83,11,88,93
145,90,10,86,93
146,94,10,86,93
147,97,10,86,93
148,99,11,87,92
149,99,11,89,92
150,97,12,92,92
151,93,14,94,92
152,88,15,96,92
153,81,17,98,92
154,73,19,99,91
155,65,21,99,91
156,56,23,98,91
157,46,25,96,91
158,37,26,94,91
159,28,28,92,91
160,20,29,89,91
161,13,30,87,91
162,08,30,86,91
163,03,30,86,91
164,01,30,86,91
165,00,29,88,91
166,01,28,90,91
167,03,27,93,91
168,08,26,95,91
169,13,24,97,91
170,20,22,98,91
171,28,20,99,91
172,37,18,99,91
173,46,17,98,91
174,56,15,96,90
175,65,13,93,90
176,73,12,91,90
177,81,11,89,90
178,88,10,87,90
179,93,10,86,90
