time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,67,76,77,26
1,58,80,75,29
2,49,83,71,32
3,46,86,64,35
4,31,89,56,38
5,27,91,48,41
6,24,94,38,44
7,13,95,34,47
8,07,95,33,50
9,09,95,34,53
10,06,94,36,56
11,07,93,40,59
12,05,91,50,62
13,13,88,58,65
14,17,86,64,68
15,20,82,70,70
16,28,79,72,73
17,34,75,72,76
18,44,72,69,79
19,49,68,62,82
20,59,66,58,85
21,66,64,54,88
22,78,62,46,91
23,79,61,39,94
24,86,60,35,97
25,85,59,32,99
26,86,59,33,98
27,90,60,35,96
28,87,62,42,95
29,86,64,50,93
30,80,66,54,92
31,75,68,59,90
32,75,71,64,89
33,64,73,66,88
34,55,76,64,86
35,52,80,61,85
36,39,82,58,83
37,32,84,51,82
38,23,86,43,80
39,24,88,36,79
40,17,89,30,78
41,13,90,27,76
42,10,91,24,75
43,07,90,28,73
44,10,89,32,72
45,09,87,37,70
46,07,85,47,69
47,07,81,58,68
48,20,78,63,66
49,30,76,65,65
50,27,71,67,63
51,41,68,65,62
52,44,64,58,60
53,52,60,51,59
54,62,57,41,58
55,82,57,39,56
56,91,57,42,55
57,89,57,42,53
58,67,55,33,52
59,47,50,19,50
60,19,42,11,49
61,11,33,07,48
62,04,24,03,47
63,10,17,01,46
64,13,12,00,45
65,11,07,00,44
66,12,03,02,43
67,10,00,05,42
68,21,00,05,41
69,34,01,05,41
70,33,03,04,40
71,42,07,03,39
72,52,13,02,38
73,62,20,03,37
74,73,28,10,36
75,75,37,14,35
76,79,46,18,34
77,78,55,18,33
78,90,64,30,33
79,88,72,40,32
80,91,80,49,31
81,96,87,62,30
82,81,92,67,29
83,90,97,76,28
84,79,99,79,27
85,74,98,77,26
86,61,94,69,25
87,55,90,60,25
88,49,87,59,24
89,41,87,59,23
90,27,88,56,22
91,31,90,48,21
92,13,92,42,20
93,11,92,42,19
94,11,91,43,18
95,06,91,46,17
96,09,90,48,17
97,06,90,50,16
98,00,87,62,15
99,11,84,70,15
100,15,82,76,15
101,20,79,81,14
102,25,75,84,14
103,33,72,84,13
104,45,68,80,13
105,54,65,75,12
106,56,62,69,12
107,65,61,65,11
108,73,59,57,11
109,86,58,55,10
110,83,57,51,10
111,93,57,49,10
112,94,58,56,09
113,97,59,61,09
114,91,61,67,08
115,89,63,74,08
116,81,65,80,07
117,85,69,89,07
118,76,73,94,06
119,67,76,95,06
120,60,80,93,06
121,40,82,92,05
122,42,85,84,05
123,41,89,74,04
124,26,91,68,04
125,24,94,59,03
126,21,95,53,03
127,11,96,50,02
128,04,96,47,02
129,08,96,48,02
130,04,95,54,01
131,07,93,61,01
132,07,91,69,00
133,16,89,75,00
134,19,85,81,00
135,26,82,85,00
136,29,78,87,00
137,42,75,86,00
138,49,72,82,00
139,57,68,73,01
140,66,66,67,01
141,73,63,57,01
142,76,61,48,01
143,86,60,41,01
144,82,58,36,01
145,92,59,38,01
146,95,61,47,01
147,92,62,51,01
148,88,63,57,01
149,84,65,63,01
150,83,68,71,01
151,78,73,76,02
152,73,77,80,02
153,61,80,81,02
154,57,84,77,02
155,49,87,73,02
156,42,90,68,02
157,30,92,60,02
158,14,94,54,02
159,18,95,49,02
160,12,96,45,02
161,03,95,47,02
162,09,95,46,02
163,05,94,53,03
164,00,92,63,03
165,05,89,73,03
166,17,87,77,03
167,19,84,83,03
168,25,81,87,03
169,29,78,89,03
170,41,75,87,03
171,43,71,83,03
172,50,67,78,04
173,64,64,70,04
174,66,62,64,04
175,74,60,55,04
176,85,59,49,04
177,81,57,42,05
178,99,59,49,05
179,91,60,54,05
180,88,60,56,05
181,91,62,63,05
182,93,64,73,06
183,89,68,83,06
184,71,70,86,06
185,73,73,90,06
186,64,76,91,06
187,56,79,89,07
188,46,83,82,07
189,34,85,77,07
190,33,88,70,07
191,30,92,57,07
192,27,94,49,08
193,09,95,46,08
194,07,95,41,08
195,08,96,39,08
196,08,95,44,08
197,04,93,53,09
198,09,91,60,09
199,14,89,66,09
200,12,85,75,09
201,22,82,80,09
202,28,79,82,10
203,33,75,82,10
204,43,72,81,10
205,51,69,76,10
206,57,66,68,10
207,66,64,63,10
208,76,61,50,10
209,84,60,46,10
210,91,60,47,10
211,90,60,46,10
212,95,61,48,10
213,92,61,50,10
214,90,64,59,11
215,91,66,68,11
216,89,69,77,11
217,88,73,87,11
218,72,77,90,11
219,66,81,91,11
220,64,85,90,11
221,54,88,88,11
222,44,90,84,11
223,32,93,76,11
224,22,95,69,11
225,22,97,61,11
226,13,97,59,11
227,14,98,53,11
228,03,98,56,11
229,09,97,59,11
230,08,97,62,11
231,06,94,70,11
232,06,92,80,11
233,09,88,89,11
234,18,85,95,12
235,29,82,98,12
236,33,79,99,12
237,38,76,98,12
238,48,72,93,12
239,59,69,86,12
240,69,66,77,12
241,78,64,71,12
242,73,62,60,11
243,84,60,56,11
244,88,60,54,11
245,88,60,52,11
246,93,60,54,10
247,87,60,54,10
248,89,62,62,10
249,89,65,72,09
250,82,68,78,09
251,77,71,83,09
252,70,74,87,09
253,62,78,86,08
254,52,82,82,08
255,46,85,77,08
256,38,88,69,08
257,32,91,62,07
258,19,93,54,07
259,19,94,49,07
260,14,95,45,06
261,07,95,44,06
262,10,95,42,06
263,07,95,43,06
264,08,94,48,05
265,06,91,59,05
266,10,88,68,05
267,15,85,75,05
268,20,81,81,04
269,30,78,82,04
270,34,73,81,04
271,51,70,75,03
272,60,68,72,03
273,66,66,65,03
274,64,63,56,03
275,72,60,49,02
276,83,59,43,02
277,85,59,42,02
278,90,59,42,02
279,91,59,43,02
280,91,60,48,03
281,93,62,56,03
282,93,65,67,03
283,83,68,74,03
284,76,71,79,03
285,59,73,80,03
286,64,76,81,03
287,58,79,79,03
288,46,83,74,03
289,38,86,68,03
290,36,88,61,04
291,28,91,52,04
292,27,93,44,04
293,14,94,39,04
294,09,94,39,04
295,07,95,38,04
296,10,95,38,04
297,06,93,43,04
298,09,92,48,04
299,14,90,55,05
