time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,08,89,46,27
1,05,89,46,28
2,04,88,49,30
3,09,88,51,32
4,05,84,61,33
5,07,81,70,35
6,14,77,77,36
7,20,74,82,38
8,28,70,84,39
9,40,67,84,41
10,49,64,82,42
11,52,61,76,44
12,60,58,71,46
13,68,55,62,47
14,77,53,57,49
15,95,54,59,50
16,88,54,59,52
17,89,54,60,53
18,90,54,60,55
19,99,56,69,56
20,89,58,74,57
21,91,59,79,59
22,82,62,85,60
23,84,66,92,61
24,80,71,98,62
25,65,75,99,64
26,54,78,98,65
27,52,83,93,66
28,47,88,85,68
29,37,92,76,69
30,33,95,66,70
31,23,98,57,72
32,08,99,55,73
33,08,99,55,74
34,08,99,54,75
35,06,99,55,77
36,00,97,63,78
37,04,94,71,79
38,13,92,77,81
39,13,88,86,82
40,19,83,92,83
41,26,79,96,85
42,38,76,96,86
43,41,72,94,87
44,42,66,90,89
45,74,63,80,90
46,89,63,80,91
47,89,63,80,92
48,83,62,77,94
49,56,55,60,95
50,35,47,48,96
51,16,36,36,98
52,05,24,32,99
53,09,13,22,99
54,23,04,07,96
55,37,00,00,93
56,66,02,05,91
57,88,07,24,88
58,89,14,42,85
59,87,21,59,82
60,74,28,67,80
61,69,35,70,77
62,65,43,67,74
63,59,51,61,71
64,46,57,52,68
65,41,62,41,66
66,28,66,29,63
67,21,69,21,60
68,19,70,18,57
69,12,70,19,55
70,06,68,25,52
71,01,64,36,49
72,01,58,49,46
73,07,53,58,43
74,07,48,67,41
75,11,39,67,38
76,14,27,56,35
77,20,17,41,32
78,27,08,26,30
79,37,05,23,27
80,39,06,23,24
81,53,12,23,21
82,62,20,21,19
83,69,29,22,16
84,71,37,26,13
85,86,44,40,10
86,88,47,50,07
87,91,48,52,05
88,89,48,52,02
89,94,49,56,00
90,91,51,64,00
91,94,55,76,00
92,83,58,82,00
93,77,61,87,00
94,74,65,91,00
95,68,69,94,00
96,59,74,92,00
97,46,78,87,00
98,39,81,82,00
99,37,85,74,00
100,28,88,65,01
101,15,90,57,01
102,09,91,52,01
103,14,92,49,01
104,10,93,47,01
105,12,93,47,01
106,06,92,51,01
107,06,90,58,01
108,09,87,66,01
109,13,83,74,01
110,16,80,80,01
111,26,76,83,01
112,31,71,84,01
113,37,66,82,01
114,44,62,79,01
115,54,57,70,01
116,72,55,63,01
117,70,51,53,01
118,79,50,47,01
119,84,48,41,01
120,86,48,38,01
121,95,48,39,01
122,86,48,40,01
123,91,50,48,01
124,92,53,57,01
125,96,57,70,01
126,81,61,76,01
127,76,65,81,01
128,70,70,84,01
129,64,74,85,02
130,52,78,82,02
131,44,82,75,02
132,43,87,64,02
133,32,90,57,02
134,18,91,53,02
135,10,91,54,02
136,12,92,50,02
137,05,92,51,02
138,06,91,53,02
139,11,91,53,02
140,08,90,58,02
141,05,87,68,02
142,10,83,75,02
143,19,81,81,02
144,26,78,84,03
145,23,73,88,03
146,43,69,85,03
147,48,65,82,03
148,58,62,77,03
149,57,58,69,03
150,63,55,60,03
151,79,52,52,03
152,77,51,47,03
153,88,50,45,03
154,97,51,48,03
155,90,50,44,03
156,95,52,53,03
157,84,54,57,03
158,94,57,68,03
159,85,60,75,04
160,80,65,82,04
161,75,70,86,04
162,63,73,87,03
163,59,77,86,03
164,51,82,80,03
165,43,87,70,03
166,32,90,63,03
167,23,92,54,03
168,16,94,49,03
169,19,95,45,03
170,10,95,43,03
171,09,96,41,03
172,05,95,44,02
173,05,93,51,02
174,06,90,60,02
175,13,89,65,02
176,15,85,73,02
177,18,80,79,02
178,24,75,83,02
179,28,70,85,02
180,44,67,84,02
181,54,64,78,02
182,54,60,73,01
183,66,57,64,01
184,74,53,52,01
185,79,52,46,01
186,85,50,40,01
187,83,50,40,01
188,87,49,35,01
189,99,51,43,01
190,90,52,49,01
191,88,54,55,01
192,86,58,63,00
193,82,61,70,00
194,78,65,76,00
195,69,69,79,00
196,61,74,78,00
197,50,78,74,00
198,46,82,67,00
199,37,85,62,01
200,27,88,54,01
201,24,90,48,01
202,12,91,43,01
203,11,92,40,01
204,08,92,40,02
205,06,91,43,02
206,05,89,49,02
207,10,88,53,02
208,11,86,59,02
209,08,83,67,03
210,18,79,73,03
211,22,74,78,03
212,29,71,80,03
213,45,68,78,03
214,49,64,74,04
215,61,61,69,04
216,66,58,61,04
217,76,57,58,04
218,73,55,52,04
219,85,53,44,05
220,85,52,41,05
221,89,52,42,05
222,96,54,48,05
223,95,56,55,05
224,89,58,61,06
225,81,59,65,06
226,78,62,70,06
227,72,65,74,06
228,71,69,77,07
229,61,73,77,07
230,49,76,74,07
231,50,80,70,07
232,42,85,61,07
233,32,88,53,07
234,18,90,48,07
235,21,92,40,08
236,08,92,38,08
237,10,92,38,08
238,03,91,43,08
239,03,90,46,08
240,03,88,55,08
241,01,85,66,08
242,11,82,73,08
243,14,77,80,08
244,24,73,84,08
245,31,69,85,08
246,41,65,83,08
247,48,61,78,08
248,56,58,74,08
249,68,56,68,08
250,60,52,59,08
251,75,50,52,08
252,82,48,44,09
253,84,46,37,09
254,87,46,36,09
255,87,47,39,09
256,86,48,43,09
257,98,52,57,09
258,90,55,66,09
259,84,58,73,09
260,71,61,77,09
261,72,65,81,09
262,65,68,82,09
263,56,72,81,09
264,45,76,76,09
265,41,79,71,09
266,29,82,62,09
267,31,85,54,09
268,22,88,45,09
269,15,90,38,09
270,11,91,32,09
271,12,93,25,09
272,02,92,31,08
273,05,90,36,08
274,10,88,43,08
275,08,85,52,08
276,16,81,60,07
277,22,77,65,07
278,24,72,68,07
279,27,66,69,07
280,45,63,68,06
281,48,59,62,06
282,55,55,54,06
283,71,53,49,06
284,66,50,40,05
285,80,49,36,05
286,82,48,34,05
287,83,46,25,05
288,86,46,22,04
289,94,47,29,04
290,98,51,44,04
291,86,53,50,04
292,80,56,56,03
293,74,59,60,03
294,75,63,65,03
295,72,68,69,03
296,59,72,68,02
297,49,75,65,02
298,42,78,61,02
299,32,81,55,02
