time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,76,55,82,02
1,60,60,82,02
2,63,68,80,02
3,48,72,76,02
4,41,76,72,02
5,39,80,65,02
6,27,85,56,02
7,25,88,47,02
8,21,90,43,02
9,10,90,42,02
10,07,90,43,02
11,10,89,46,02
12,13,88,49,02
13,08,84,58,02
14,13,80,65,02
15,18,77,70,02
16,20,72,76,02
17,29,66,79,02
18,38,60,79,02
19,47,54,74,02
20,52,48,69,02
21,63,43,62,02
22,74,39,52,02
23,73,35,43,01
24,87,35,42,01
25,93,34,40,01
26,88,34,39,02
27,95,36,45,02
28,93,39,52,02
29,90,42,59,02
30,89,44,65,02
31,92,51,76,02
32,79,55,81,03
33,71,60,84,03
34,64,65,84,03
35,60,70,84,03
36,53,76,80,03
37,45,80,75,03
38,39,84,70,04
39,33,89,60,04
40,13,90,56,04
41,18,92,51,04
42,14,92,51,04
43,10,93,49,04
44,04,91,55,05
45,04,88,63,05
46,10,85,69,05
47,13,82,76,05
48,16,77,83,05
49,18,70,91,05
50,24,64,95,05
51,36,58,95,06
52,46,52,92,06
53,53,48,88,06
54,55,41,79,06
55,65,34,67,06
56,76,32,61,06
57,76,28,51,07
58,90,27,49,07
59,84,26,46,07
60,93,27,49,07
61,90,26,48,07
62,93,29,55,07
63,92,34,66,08
64,87,39,74,08
65,80,43,80,08
66,86,51,89,08
67,68,56,91,08
68,66,62,92,08
69,57,67,90,08
70,48,75,80,08
71,39,79,74,09
72,33,83,67,09
73,28,87,59,09
74,15,90,52,09
75,15,92,45,09
76,07,91,46,09
77,09,91,49,09
78,02,88,57,10
79,10,86,61,10
80,07,82,70,10
81,15,78,77,10
82,20,72,84,10
83,27,66,88,10
84,31,61,90,10
85,35,55,90,10
86,48,48,85,11
87,59,45,81,11
88,65,39,71,11
89,74,37,67,11
90,77,33,58,11
91,83,32,54,11
92,84,30,49,11
93,93,30,50,12
94,91,31,52,12
95,94,34,60,12
96,94,36,65,12
97,95,42,77,13
98,96,48,90,15
99,75,52,94,18
100,74,58,97,20
101,71,65,99,23
