time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,21,00,10,10
1,25,00,16,09
2,30,01,26,09
3,22,02,29,09
4,30,03,38,09
5,28,03,44,08
6,40,05,58,08
7,34,06,65,08
8,39,07,75,08
9,37,09,82,07
10,43,11,90,07
11,34,12,91,07
12,41,14,95,07
13,39,16,96,06
14,39,18,94,06
15,29,19,89,06
16,32,21,85,06
17,34,23,79,05
18,39,25,71,05
19,30,26,65,05
20,21,27,54,05
21,22,28,43,05
22,23,29,29,06
23,25,30,19,07
24,18,30,14,07
25,12,31,10,08
26,14,31,09,09
27,08,30,14,09
28,09,30,17,10
29,05,30,25,11
30,03,29,33,11
31,02,28,41,12
32,04,27,47,13
33,09,26,50,13
34,00,25,57,14
35,00,24,63,15
36,08,23,61,15
37,06,21,62,16
38,04,20,61,17
39,01,18,61,17
40,09,17,55,18
41,08,16,52,19
42,14,15,44,19
43,12,14,37,20
44,13,13,28,21
45,09,12,24,21
46,18,11,19,22
47,26,11,14,23
48,17,10,00,23
49,30,10,00,24
50,34,11,08,25
51,29,11,11,25
52,33,11,17,26
53,40,12,26,27
54,46,13,41,27
55,37,14,47,28
56,48,15,60,29
57,45,17,69,29
58,48,19,77,30
59,45,20,82,31
60,45,22,85,32
61,44,24,86,33
62,50,26,89,34
63,42,27,89,35
64,49,29,88,36
65,44,31,83,37
66,44,32,81,38
67,40,34,76,39
68,37,35,68,39
69,33,36,57,40
70,34,37,50,41
71,30,38,41,42
72,28,39,36,43
73,23,39,31,44
74,31,40,23,45
75,26,41,13,46
76,17,41,14,47
77,22,41,15,48
78,25,41,11,48
79,14,40,19,49
80,09,39,30,50
81,17,39,34,51
82,11,38,42,52
83,08,36,50,53
84,10,35,54,54
85,11,34,58,55
86,09,32,60,56
87,15,31,59,57
88,13,30,57,58
89,10,28,57,58
90,13,27,54,59
91,12,25,52,60
92,23,24,43,60
93,19,23,38,60
94,29,23,28,59
95,32,22,22,58
96,19,21,13,57
97,29,21,08,56
98,37,21,08,55
99,40,21,12,55
100,33,21,12,54
101,36,21,14,53
102,42,22,21,52
103,48,23,32,51
104,39,23,35,50
105,48,24,43,49
106,46,25,50,49
107,52,26,59,48
108,62,28,73,47
109,54,30,79,46
110,47,31,79,45
111,57,33,85,44
112,55,35,87,44
113,49,36,84,43
114,53,38,82,42
115,52,40,79,41
116,48,41,72,40
117,51,43,69,39
118,48,44,62,39
119,48,46,52,38
120,42,47,42,37
121,41,48,30,36
122,38,49,24,35
123,30,49,17,34
124,37,50,14,33
125,34,50,13,33
126,35,51,03,32
127,26,50,05,31
128,26,50,10,30
129,22,49,17,29
130,21,49,23,28
131,18,48,32,28
132,21,47,38,27
133,21,46,43,26
134,15,45,51,25
135,21,44,54,24
136,12,42,62,23
137,21,41,63,22
138,13,39,61,22
139,21,38,59,21
140,21,37,59,20
141,26,36,52,19
142,22,34,47,18
143,32,33,43,17
144,32,33,36,16
145,26,31,28,16
146,38,31,24,15
147,37,30,16,14
148,43,30,14,13
149,49,30,14,12
150,47,31,17,11
151,53,31,24,11
152,54,32,33,10
153,56,33,43,09
154,61,34,54,08
155,56,35,61,07
156,56,36,67,06
157,60,37,75,05
158,60,38,81,05
159,66,40,89,04
160,61,42,92,03
161,69,44,97,02
162,61,45,98,01
163,64,47,99,00
164,58,49,94,00
165,63,51,93,00
166,66,53,86,00
167,53,54,80,00
168,54,56,67,00
169,54,57,58,00
170,58,59,49,00
171,61,60,41,00
172,52,62,27,00
173,48,62,20,00
174,46,63,13,00
175,42,63,01,00
176,36,63,02,00
177,38,63,01,01
178,34,63,07,01
179,30,62,17,01
180,31,62,25,01
181,27,61,34,01
182,30,60,41,01
183,29,58,47,01
184,37,57,48,01
185,28,56,53,01
186,25,55,59,01
187,22,53,65,01
188,25,52,68,01
189,33,51,64,01
190,38,50,61,01
191,39,48,54,01
192,37,48,50,01
193,42,47,44,01
194,37,46,40,01
195,44,45,33,01
196,41,44,22,01
197,47,44,20,01
198,54,44,20,01
199,50,44,18,01
200,58,44,18,02
201,57,43,16,04
202,66,44,25,05
203,70,45,37,06
204,61,45,43,07
205,68,47,52,09
206,73,48,63,10
207,72,49,72,11
208,69,51,77,13
209,67,52,80,14
210,79,54,88,15
211,71,56,88,16
212,75,58,91,18
213,68,60,89,19
214,70,61,89,20
215,70,63,86,22
216,72,65,80,23
217,75,67,70,24
218,74,69,61,25
219,70,70,54,27
220,67,72,48,28
221,65,73,41,29
222,63,74,32,31
223,56,74,26,32
224,59,75,15,33
225,54,76,10,34
226,46,76,06,36
227,50,76,04,37
228,52,76,05,38
229,55,76,02,40
230,49,76,06,41
231,42,75,14,42
232,46,74,19,43
233,55,74,20,45
234,39,73,28,46
235,45,72,32,47
236,48,71,32,47
237,46,70,34,47
238,53,69,33,46
239,49,68,34,46
240,53,67,28,46
241,50,66,26,45
242,58,66,21,45
243,53,65,19,44
244,66,65,17,44
245,63,65,15,43
246,65,64,12,43
247,74,64,11,43
248,67,64,07,42
249,75,64,10,42
250,78,65,17,41
251,80,65,25,41
252,80,66,32,40
253,79,67,39,40
254,88,68,51,40
255,95,70,65,39
256,87,72,70,39
257,91,73,78,38
258,92,75,85,38
259,89,76,90,38
260,95,78,95,37
261,99,81,98,37
262,94,83,98,36
