time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,02,40,84,00
1,06,37,89,00
2,11,33,94,00
3,18,29,97,00
4,26,25,99,00
5,34,21,99,00
6,43,16,97,00
7,53,12,94,00
8,62,09,89,00
9,71,06,84,00
10,79,03,79,00
11,86,01,75,00
12,91,00,73,00
13,96,00,72,00
14,98,01,74,00
15,99,02,77,00
16,98,04,81,00
17,96,07,86,01
18,91,10,91,01
19,86,14,95,01
20,79,18,98,01
21,71,22,99,01
22,62,26,98,01
23,53,30,96,01
24,43,34,92,01
25,34,38,88,01
26,26,41,83,01
27,18,43,78,01
28,11,44,74,01
29,06,45,72,02
30,02,45,72,02
31,00,44,74,02
32,00,43,78,02
33,02,41,83,02
34,05,38,88,02
35,09,34,92,02
36,16,30,96,02
37,23,26,98,02
38,31,22,99,02
39,40,18,98,02
40,50,14,95,02
41,59,10,91,03
42,68,07,86,03
43,76,04,81,03
44,83,02,77,03
45,90,01,74,03
46,94,00,72,03
47,97,00,73,03
48,99,01,75,03
49,99,03,79,03
50,97,06,84,03
51,93,09,89,03
52,88,12,94,03
53,81,16,97,03
54,73,21,99,03
55,65,25,99,03
56,56,29,97,03
57,46,33,94,03
58,37,37,89,04
59,28,40,84,04
60,20,42,79,04
61,13,44,75,04
62,08,45,73,04
63,03,45,72,04
64,01,45,74,04
65,00,44,77,04
66,01,41,81,04
67,03,39,86,04
68,08,35,91,04
69,13,32,95,04
70,20,28,98,04
71,28,23,99,04
72,37,19,98,04
73,46,15,96,04
74,56,11,92,04
75,65,08,88,04
76,73,05,83,04
77,81,02,78,04
78,88,01,74,04
79,93,00,72,04
80,97,00,72,05
81,99,01,74,05
82,99,02,78,05
83,97,05,83,05
84,94,08,88,06
85,90,11,92,08
86,83,15,96,11
87,76,19,98,14
88,68,23,99,16
89,59,28,98,19
90,50,32,95,22
91,40,35,91,24
92,31,39,86,27
93,23,41,81,30
94,16,44,77,32
95,09,45,74,35
96,05,45,72,38
97,02,45,73,40
98,00,44,75,43
99,00,42,79,46
100,02,40,84,48
101,06,37,89,51
102,11,33,94,54
103,18,29,97,56
104,26,25,99,59
105,34,21,99,62
106,43,16,97,64
107,53,12,94,67
108,62,09,89,70
109,71,06,84,72
110,79,03,79,75
111,86,01,75,77
112,91,00,73,80
113,96,00,72,83
114,98,01,74,85
115,99,02,77,88
116,98,04,81,91
117,96,07,86,93
118,91,10,91,96
119,86,14,95,99
120,79,18,98,99
121,71,22,99,97
122,62,26,98,95
123,53,30,96,93
124,43,34,92,90
125,60,41,87,88
126,24,44,82,86
127,46,50,73,84
128,43,56,62,82
129,82,68,52,80
130,79,78,40,77
131,35,82,30,75
132,62,89,18,73
133,35,92,12,71
134,48,95,05,69
135,64,99,00,67
136,16,95,10,65
137,23,91,18,62
138,31,87,23,60
139,40,82,25,58
140,50,78,25,56
141,59,75,23,54
142,68,71,19,52
143,76,69,15,49
144,83,67,11,47
145,90,65,07,45
146,94,65,06,43
147,97,65,07,41
148,99,66,09,39
149,99,68,13,36
150,97,70,18,34
151,93,74,22,32
152,88,77,25,30
153,81,81,25,28
154,73,85,24,26
155,65,86,24,24
156,56,90,17,22
157,46,90,17,22
158,37,90,18,21
159,28,82,23,20
160,20,74,29,20
161,13,71,36,19
162,08,63,46,19
163,03,59,56,18
164,01,52,67,17
165,00,44,77,17
166,01,41,81,16
167,03,39,86,15
168,08,35,91,15
169,13,32,95,14
170,20,28,98,14
171,28,23,99,13
172,37,19,98,12
173,46,15,96,12
174,56,11,92,11
175,65,08,88,10
176,73,05,83,10
177,81,02,78,09
178,88,01,74,08
179,93,00,72,08
180,97,00,72,07
181,99,01,74,07
182,99,02,78,06
183,97,05,83,05
184,94,08,88,05
185,90,11,92,04
186,83,15,96,03
187,76,19,98,03
188,68,23,99,02
189,59,28,98,02
190,50,32,95,01
191,40,35,91,00
192,31,39,86,00
193,23,41,81,00
194,16,44,77,00
195,09,45,74,00
196,05,45,72,01
197,02,45,73,01
198,00,44,75,01
199,00,42,79,01
200,02,40,84,01
201,06,37,89,01
202,11,33,94,01
203,18,29,97,01
204,26,25,99,01
205,34,21,99,01
206,43,16,97,01
207,53,12,94,01
208,62,09,89,01
209,71,06,84,02
210,79,03,79,02
211,86,01,75,02
212,91,00,73,02
213,96,00,72,02
214,98,01,74,02
215,99,02,77,02
216,98,04,81,02
217,96,07,86,02
218,91,10,91,02
219,86,14,95,02
220,79,18,98,02
221,71,22,99,03
222,62,26,98,03
223,53,30,96,03
224,43,34,92,03
225,34,38,88,03
226,26,41,83,03
227,18,43,78,03
228,11,44,74,03
229,06,45,72,03
230,02,45,72,03
231,00,44,74,03
232,00,43,78,03
233,02,41,83,03
234,05,38,88,03
235,09,34,92,03
236,16,30,96,03
237,23,26,98,04
238,31,22,99,04
239,40,18,98,04
240,50,14,95,04
241,59,10,91,04
242,68,07,86,04
243,76,04,81,04
244,83,02,77,04
245,90,01,74,04
246,94,00,72,04
247,97,00,73,04
248,99,01,75,04
249,99,03,79,04
250,97,06,84,04
251,93,09,89,04
252,88,12,94,04
253,81,16,97,04
254,73,21,99,04
255,65,25,99,04
256,56,29,97,04
257,46,33,94,04
258,37,37,89,04
259,28,40,84,04
260,20,42,79,05
261,13,44,75,05
262,08,45,73,05
263,03,45,72,05
264,01,45,74,05
265,00,44,77,05
266,01,41,81,04
267,03,39,86,04
268,08,35,91,04
269,13,32,95,04
270,20,28,98,04
271,28,23,99,04
272,37,19,98,04
273,46,15,96,04
274,56,11,92,04
275,65,08,88,04
276,73,05,83,04
277,81,02,78,04
278,88,01,74,04
279,93,00,72,04
280,97,00,72,04
281,99,01,74,04
282,99,02,78,03
283,97,05,83,03
284,94,08,88,03
285,90,11,92,03
286,83,15,96,03
287,76,19,98,03
288,68,23,99,03
289,59,28,98,03
290,50,32,95,03
291,40,35,91,03
292,31,39,86,03
293,23,41,81,03
294,16,44,77,03
295,09,45,74,03
296,05,45,72,03
297,02,45,73,03
298,00,44,75,02
299,00,42,79,02
