time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,42,45,15,64
1,28,46,15,65
2,22,42,14,66
3,28,44,13,66
4,23,45,12,67
5,25,43,12,68
6,41,47,13,69
7,31,45,12,70
8,23,45,12,71
9,29,47,11,71
10,21,44,12,72
11,33,48,11,73
12,17,43,12,74
13,28,46,10,75
14,29,45,10,75
15,19,42,10,76
16,35,47,09,77
17,39,48,09,78
18,28,45,08,79
19,41,47,09,80
20,18,45,10,80
21,09,41,14,81
22,21,39,14,82
23,27,34,11,83
24,18,31,11,84
25,22,28,11,85
26,20,33,03,85
27,06,28,08,86
28,15,20,03,87
29,30,20,03,88
30,32,18,01,89
31,15,15,02,89
32,37,18,03,90
33,00,12,09,89
34,33,14,10,88
35,26,14,10,87
36,17,09,08,86
37,42,11,11,85
38,22,11,11,84
39,03,05,14,83
40,28,07,14,82
41,28,06,14,81
42,30,09,14,80
43,24,08,14,80
44,24,07,13,79
45,21,07,13,78
46,42,09,15,77
47,30,06,13,76
48,30,07,13,75
49,12,00,12,74
50,28,02,12,73
51,31,08,11,72
52,17,07,11,71
53,31,08,12,70
54,14,07,12,69
55,46,12,16,68
56,27,14,16,67
57,41,22,15,66
58,37,27,15,65
59,26,26,15,64
60,31,26,15,63
61,38,32,14,62
62,35,31,14,61
63,39,40,08,61
64,17,37,09,60
65,29,37,09,59
66,47,44,11,58
67,51,46,14,57
68,11,44,16,56
69,29,50,10,58
70,34,51,10,59
71,31,52,10,60
72,34,53,10,61
73,31,55,10,62
74,29,56,09,64
75,39,60,09,65
76,27,57,08,66
77,24,55,08,67
78,20,53,09,68
79,24,56,06,70
80,16,53,08,71
81,28,52,08,72
82,51,60,11,73
83,29,60,11,75
84,05,57,14,76
85,33,55,12,77
86,29,55,12,78
87,18,50,13,79
88,07,43,16,81
89,22,42,17,82
90,24,40,17,83
91,26,37,16,84
92,28,36,16,85
93,30,33,14,87
94,33,37,14,88
95,08,32,17,89
96,29,28,14,90
97,19,21,09,91
98,19,22,07,93
99,24,21,07,94
100,33,21,07,95
101,26,20,06,96
102,13,15,07,97
103,31,15,07,99
104,23,13,07,99
105,20,09,05,98
106,15,06,06,97
107,34,08,07,97
108,24,09,06,96
109,53,16,14,95
110,21,17,13,94
111,45,21,17,93
112,25,15,11,93
113,26,14,10,92
114,53,25,13,91
115,27,24,13,90
116,26,23,13,89
117,14,22,14,89
118,27,27,10,88
119,20,27,11,87
120,39,30,12,86
121,13,27,13,85
122,39,30,15,85
123,29,30,15,84
124,36,30,15,83
125,36,37,12,82
126,36,39,13,81
127,20,39,13,81
128,31,42,12,80
129,25,42,12,79
130,14,37,14,78
131,35,39,14,77
132,18,41,13,77
133,21,38,13,76
134,22,38,13,75
135,21,38,13,74
136,15,38,13,73
137,26,36,13,73
138,34,39,13,72
139,27,33,08,71
140,38,37,08,70
141,03,27,11,70
142,14,24,12,69
143,18,23,13,68
144,36,19,07,68
145,23,18,07,67
146,30,19,07,66
147,22,21,06,66
148,24,20,06,65
149,41,25,08,64
150,25,21,06,64
151,21,23,05,63
152,23,19,03,62
153,32,20,03,62
154,50,23,08,61
155,26,21,07,60
156,27,19,06,60
157,24,20,05,59
158,35,21,06,58
159,27,21,06,58
160,42,28,07,57
161,29,26,06,56
162,21,27,06,56
163,28,28,06,55
164,28,30,06,54
165,12,28,07,54
166,33,32,06,53
167,10,28,09,52
168,23,26,09,52
169,16,23,10,51
170,15,17,09,50
171,21,22,04,50
172,25,24,03,49
173,26,26,02,48
174,20,22,01,48
