time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,12,00,10,00
1,14,00,07,00
2,17,00,05,00
3,20,00,07,00
4,22,00,11,00
5,25,01,17,00
6,27,02,25,00
7,30,02,33,00
8,31,03,42,00
9,33,05,50,00
10,35,06,58,00
11,36,07,65,00
12,37,09,70,00
13,37,10,75,00
14,37,12,78,00
15,37,14,79,00
16,37,15,79,00
17,36,17,78,00
18,35,19,75,00
19,33,20,70,00
20,32,22,65,00
21,30,23,58,00
22,28,24,50,00
23,26,26,42,01
24,23,27,33,02
25,21,27,25,04
26,19,28,17,05
27,16,28,11,07
28,14,29,07,08
29,12,29,05,09
30,09,29,07,11
31,07,29,10,12
32,05,28,16,14
33,04,27,22,15
34,02,27,29,17
35,01,26,35,18
36,01,25,41,20
37,00,24,46,21
38,00,23,50,23
39,00,21,53,24
40,01,20,55,25
41,01,19,55,27
42,03,17,53,28
43,04,16,50,30
44,06,15,46,31
45,08,14,41,33
46,10,13,35,34
47,12,12,29,36
48,15,11,22,37
49,17,11,16,39
50,20,10,10,40
51,23,10,07,41
52,26,10,05,43
53,28,10,07,44
54,31,10,11,46
55,34,11,17,47
56,36,11,25,49
57,38,12,33,50
58,40,13,42,52
59,42,14,50,53
60,43,16,58,54
61,44,17,65,56
62,45,19,70,57
63,46,20,75,58
64,46,22,78,60
65,46,23,79,61
66,45,25,79,62
67,44,27,78,63
68,43,28,75,65
69,42,30,70,66
70,40,32,65,67
71,39,33,58,69
72,37,34,50,70
73,34,35,42,71
74,32,36,33,72
75,30,37,25,74
76,27,38,17,75
77,25,38,11,76
78,22,39,07,78
79,20,39,05,79
80,18,39,07,80
81,16,38,10,82
82,14,38,16,83
83,12,37,22,84
84,11,37,29,85
85,10,36,35,87
86,09,35,41,88
87,09,34,46,89
88,09,32,50,91
89,09,31,53,92
90,09,30,55,93
91,10,29,55,94
92,11,27,53,96
93,13,26,50,97
94,14,25,46,98
95,16,24,41,99
96,19,23,35,97
97,21,22,29,96
98,23,21,22,95
99,26,20,16,94
100,29,20,10,92
101,32,20,07,91
102,34,20,05,90
103,37,20,07,89
104,40,20,11,88
105,42,20,17,86
106,45,21,25,85
